Best Buy High Frequency Alerts

Second:  143152 avg price:  545.273939394 #of crossings:  67
	millisecond 	price
	143152021 	544.790
	143152089 	545.010
	143152090 	544.990
	143152320 	545.170
	143152367 	545.130
	143152368 	545.430
	143152369 	545.130
	143152371 	545.430
	143152372 	545.430
	143152375 	545.130
	143152377 	545.430
	143152378 	545.130
	143152379 	545.430
	143152380 	545.430
	143152384 	545.130
	143152385 	545.430
	143152386 	545.130
	143152388 	545.430
	143152391 	545.130
	143152392 	545.430
	143152393 	545.130
	143152395 	545.430
	143152397 	545.430
	143152401 	545.130
	143152402 	545.430
	143152403 	545.130
	143152404 	545.430
	143152408 	545.130
	143152409 	545.430
	143152410 	545.130
	143152411 	545.130
	143152412 	545.430
	143152415 	545.130
	143152416 	545.430
	143152417 	545.130
	143152418 	545.430
	143152419 	545.130
	143152420 	545.430
	143152424 	545.130
	143152425 	545.430
	143152426 	545.130
	143152427 	545.430
	143152428 	545.430
	143152432 	545.130
	143152433 	545.430
	143152434 	545.130
	143152435 	545.130
	143152436 	545.430
	143152439 	545.130
	143152440 	545.430
	143152441 	545.130
	143152442 	545.430
	143152446 	545.130
	143152447 	545.430
	143152448 	545.130
	143152450 	545.430
	143152451 	545.430
	143152453 	545.130
	143152454 	545.430
	143152455 	545.130
	143152456 	545.430
	143152460 	545.130
	143152461 	545.430
	143152462 	545.130
	143152463 	545.130
	143152464 	545.430
	143152467 	545.130
	143152468 	545.430
	143152469 	545.130
	143152470 	545.430
	143152474 	545.130
	143152475 	545.430
	143152476 	545.130
	143152477 	545.430
	143152478 	545.130
	143152479 	545.430
	143152483 	545.130
	143152484 	545.430
	143152485 	545.130
	143152486 	545.430
	143152560 	545.130
	143152562 	545.430
	143152563 	545.430
	143152567 	545.130
	143152568 	545.430
	143152570 	545.130
	143152571 	545.430
	143152575 	545.130
	143152576 	545.430
	143152577 	545.130
	143152578 	545.430
	143152582 	545.130
	143152583 	545.430
	143152584 	545.130
	143152585 	545.430
	143152589 	545.130
	143152590 	545.430
	143152592 	545.130
	143152593 	545.430
	143152596 	545.130
	143152597 	545.430
	143152598 	545.130
	143152600 	545.430
	143152601 	545.430
	143152602 	545.130
	143152603 	545.430
	143152608 	545.130
	143152609 	545.430
	143152610 	545.130
	143152612 	545.430
	143152613 	545.430
	143152617 	545.130
	143152618 	545.430
	143152619 	545.130
	143152620 	545.430
	143152621 	545.130
	143152622 	545.430
	143152625 	545.130
	143152627 	545.430
	143152628 	545.130
	143152629 	545.430
	143152633 	545.130
	143152634 	545.430
	143152635 	545.130
	143152636 	545.430
	143152638 	545.430
	143152639 	545.130
	143152640 	545.430
	143152644 	545.130
	143152645 	545.430
	143152646 	545.620
	143152746 	544.400
Second:  143254 avg price:  545.835730337 #of crossings:  52
	millisecond 	price
	143254000 	545.910
	143254001 	545.580
	143254008 	546.030
	143254020 	545.900
	143254021 	545.900
	143254022 	545.580
	143254024 	545.820
	143254040 	545.580
	143254041 	545.820
	143254044 	545.760
	143254046 	545.900
	143254049 	545.900
	143254104 	545.450
	143254108 	545.760
	143254109 	545.900
	143254156 	545.580
	143254157 	545.820
	143254161 	545.760
	143254228 	545.760
	143254229 	545.760
	143254286 	546.030
	143254287 	546.030
	143254288 	546.030
	143254289 	545.630
	143254290 	545.820
	143254309 	545.900
	143254310 	545.900
	143254388 	545.760
	143254413 	545.580
	143254426 	545.900
	143254427 	545.820
	143254428 	546.040
	143254429 	546.040
	143254430 	545.760
	143254431 	546.050
	143254432 	546.050
	143254433 	546.080
	143254434 	546.100
	143254435 	546.050
	143254439 	546.100
	143254440 	546.120
	143254441 	546.120
	143254442 	546.050
	143254452 	546.030
	143254453 	546.030
	143254479 	543.560
	143254496 	545.760
	143254531 	546.120
	143254533 	543.080
	143254534 	545.900
	143254535 	545.900
	143254610 	546.120
	143254629 	546.120
	143254631 	546.110
	143254632 	545.580
	143254634 	546.120
	143254652 	546.120
	143254653 	546.130
	143254661 	546.150
	143254662 	546.150
	143254663 	545.760
	143254664 	543.080
	143254666 	546.170
	143254667 	546.150
	143254668 	545.710
	143254669 	545.290
	143254670 	545.760
	143254671 	546.160
	143254678 	546.120
	143254679 	546.160
	143254681 	546.210
	143254682 	545.710
	143254683 	546.140
	143254684 	546.050
	143254685 	545.280
	143254693 	546.110
	143254694 	546.120
	143254710 	546.230
	143254713 	546.240
	143254725 	546.250
	143254729 	546.210
	143254730 	545.900
	143254791 	545.940
	143254799 	545.950
	143254801 	545.950
	143254803 	545.950
	143254805 	545.950
	143254851 	545.710
	143254937 	545.710
Second:  151344 avg price:  547.938707483 #of crossings:  62
	millisecond 	price
	151344027 	548.470
	151344032 	546.820
	151344091 	548.480
	151344140 	546.820
	151344143 	546.820
	151344146 	548.490
	151344147 	546.820
	151344151 	548.310
	151344152 	548.310
	151344158 	548.180
	151344159 	548.310
	151344168 	546.820
	151344174 	546.820
	151344176 	548.470
	151344192 	546.820
	151344195 	548.470
	151344196 	548.180
	151344201 	548.320
	151344209 	548.490
	151344210 	546.820
	151344223 	546.820
	151344224 	548.310
	151344225 	548.320
	151344228 	548.210
	151344229 	548.210
	151344236 	548.470
	151344239 	548.210
	151344243 	548.490
	151344246 	546.820
	151344247 	548.470
	151344249 	546.820
	151344250 	548.310
	151344251 	548.320
	151344253 	548.260
	151344254 	548.500
	151344261 	548.550
	151344262 	546.820
	151344263 	548.550
	151344267 	548.480
	151344269 	548.280
	151344338 	548.550
	151344361 	546.820
	151344366 	546.820
	151344368 	546.820
	151344388 	548.550
	151344396 	546.820
	151344398 	548.280
	151344406 	548.560
	151344407 	548.560
	151344408 	548.560
	151344421 	548.550
	151344422 	548.550
	151344427 	548.550
	151344428 	548.280
	151344429 	548.550
	151344433 	548.100
	151344441 	546.010
	151344443 	548.280
	151344446 	548.260
	151344447 	548.550
	151344448 	548.100
	151344449 	548.280
	151344464 	548.280
	151344471 	546.820
	151344472 	546.820
	151344473 	548.550
	151344474 	548.280
	151344475 	548.550
	151344478 	548.550
	151344480 	546.820
	151344484 	548.550
	151344485 	548.560
	151344486 	548.560
	151344487 	548.560
	151344488 	546.820
	151344490 	548.560
	151344491 	548.560
	151344493 	548.560
	151344494 	548.300
	151344495 	548.560
	151344497 	546.010
	151344499 	548.320
	151344503 	548.560
	151344505 	548.560
	151344506 	546.820
	151344508 	548.100
	151344509 	548.550
	151344510 	548.330
	151344512 	546.820
	151344513 	548.360
	151344514 	548.550
	151344535 	548.550
	151344536 	548.550
	151344543 	546.820
	151344573 	546.820
	151344580 	546.820
	151344608 	546.820
	151344609 	546.820
	151344610 	546.820
	151344644 	548.560
	151344645 	546.010
	151344671 	548.550
	151344688 	548.550
	151344690 	548.570
	151344691 	546.010
	151344692 	548.280
	151344693 	548.570
	151344697 	548.570
	151344700 	548.550
	151344702 	548.550
	151344703 	548.570
	151344705 	548.570
	151344718 	548.550
	151344743 	546.820
	151344762 	546.820
	151344789 	548.550
	151344791 	548.550
	151344792 	548.550
	151344799 	546.820
	151344809 	548.410
	151344816 	546.820
	151344820 	548.550
	151344821 	548.550
	151344822 	546.820
	151344835 	546.820
	151344839 	546.820
	151344850 	548.100
	151344856 	548.570
	151344908 	546.820
	151344920 	546.820
	151344936 	546.820
	151344939 	548.550
	151344940 	548.550
	151344941 	548.550
	151344942 	548.570
	151344948 	546.820
	151344967 	548.730
	151344968 	548.570
	151344969 	548.550
	151344970 	548.580
	151344971 	548.570
	151344972 	546.540
	151344974 	548.570
	151344975 	548.580
	151344976 	548.570
	151344982 	548.580
	151344985 	547.700

