(second, ((avg best buy, avg best ask), (#crossings best buy, #crossings best ask)))

(u'040000', ((413.51749999999998, 278.45749999999998), (2, 3)))
(u'040002', ((545.89999999999998, 566.97000000000003), (0, 0)))
(u'040113', ((554.16999999999996, 556.42999999999995), (0, 0)))
(u'040118', ((554.16999999999996, 556.69666666666672), (0, 1)))
(u'040300', ((554.16999999999996, 556.47857142857151), (0, 2)))
(u'040302', ((554.16999999999996, 556.43999999999994), (0, 1)))
(u'040314', ((555.39999999999998, 556.42999999999995), (1, 0)))
(u'040317', ((555.41999999999996, 556.42999999999995), (0, 0)))
(u'040320', ((555.31333333333339, 556.42999999999995), (1, 0)))
(u'040322', ((555.41999999999996, 556.42999999999995), (1, 0)))
(u'040323', ((555.45500000000004, 556.42999999999995), (2, 0)))
(u'040324', ((555.49000000000001, 556.42999999999995), (1, 0)))
(u'040333', ((555.50999999999999, 556.42999999999995), (0, 0)))
(u'040339', ((555.51999999999998, 556.42999999999995), (0, 0)))
(u'040344', ((555.53599999999994, 556.47199999999998), (2, 1)))
(u'040345', ((555.45624999999995, 556.44500000000005), (4, 3)))
(u'040347', ((555.40333333333331, 556.42999999999995), (1, 0)))
(u'040348', ((555.505, 556.42999999999995), (1, 0)))
(u'040350', ((555.51999999999998, 556.42999999999995), (0, 0)))
(u'040352', ((555.41999999999996, 556.42999999999995), (1, 0)))
(u'040355', ((555.505, 556.42999999999995), (1, 0)))
(u'040400', ((555.43499999999995, 556.42999999999995), (1, 0)))
(u'040401', ((555.5, 556.42999999999995), (0, 0)))
(u'040404', ((555.50999999999999, 556.42999999999995), (0, 0)))
(u'040406', ((555.53600000000006, 556.4620000000001), (1, 1)))
(u'040411', ((555.54999999999995, 556.44000000000005), (0, 0)))
(u'040414', ((555.43000000000006, 556.44000000000005), (1, 0)))
(u'040417', ((555.50999999999999, 556.42999999999995), (0, 0)))
(u'040422', ((555.39333333333332, 556.42999999999995), (2, 0)))
(u'040430', ((555.49000000000001, 556.42999999999995), (0, 0)))
(u'040432', ((555.51333333333332, 556.46500000000003), (3, 4)))
(u'040433', ((555.53999999999996, 556.46000000000004), (0, 0)))
(u'040442', ((555.53999999999996, 556.45000000000005), (0, 0)))
(u'040449', ((555.53999999999996, 556.43499999999995), (0, 1)))
(u'040452', ((555.41499999999996, 556.42999999999995), (1, 0)))
(u'040453', ((555.40333333333331, 556.42999999999995), (1, 0)))
(u'040458', ((555.48000000000002, 556.42999999999995), (0, 0)))
(u'040500', ((555.34000000000003, 556.42999999999995), (1, 0)))
(u'040501', ((555.4140000000001, 556.42999999999995), (2, 0)))
(u'040505', ((545.89999999999998, 563.85000000000002), (0, 0)))
(u'040527', ((555.43499999999995, 556.42999999999995), (1, 0)))
(u'040533', ((555.39499999999998, 556.42999999999995), (1, 0)))
(u'040550', ((555.41499999999996, 556.42999999999995), (1, 0)))
(u'040551', ((555.42999999999995, 556.42999999999995), (0, 0)))
(u'040554', ((555.44000000000005, 556.42999999999995), (0, 0)))
(u'040559', ((555.46000000000004, 556.42999999999995), (1, 0)))
(u'040601', ((555.32999999999993, 556.42999999999995), (1, 0)))
(u'040605', ((555.32333333333327, 556.42999999999995), (2, 0)))
(u'040607', ((555.42499999999995, 556.42999999999995), (1, 0)))
(u'040608', ((555.44000000000005, 556.42999999999995), (0, 0)))
(u'040610', ((555.3366666666667, 556.42999999999995), (1, 0)))
(u'040613', ((555.41999999999996, 556.42999999999995), (0, 0)))
(u'040621', ((550.03499999999997, 556.14499999999998), (1, 1)))
(u'040623', ((554.16999999999996, 556.21000000000004), (0, 0)))
(u'040624', ((554.16999999999996, 556.28250000000003), (0, 2)))
(u'040625', ((554.16999999999996, 556.24000000000001), (0, 0)))
(u'040637', ((554.16999999999996, 556.22000000000003), (0, 2)))
(u'040646', ((554.16999999999996, 556.26333333333332), (0, 1)))
(u'040647', ((554.16999999999996, 556.25), (0, 2)))
(u'040648', ((554.16999999999996, 556.24000000000001), (0, 0)))
(u'040649', ((554.16999999999996, 556.21000000000004), (0, 2)))
(u'040650', ((554.16999999999996, 556.19000000000005), (0, 0)))
(u'040700', ((554.16999999999996, 556.24000000000001), (0, 1)))
(u'040701', ((554.16999999999996, 556.22000000000003), (0, 0)))
(u'040703', ((554.16999999999996, 556.20500000000004), (0, 1)))
(u'040704', ((554.16999999999996, 556.18499999999995), (0, 1)))
(u'040706', ((554.16999999999996, 556.22333333333336), (0, 1)))
(u'040708', ((554.16999999999996, 556.20000000000005), (0, 0)))
(u'040709', ((554.16999999999996, 556.19000000000005), (0, 0)))
(u'040713', ((550.03499999999997, 556.06500000000005), (1, 1)))
(u'040719', ((554.16999999999996, 557.09333333333336), (0, 1)))
(u'040721', ((554.16999999999996, 557.54999999999995), (0, 1)))
(u'040722', ((554.16999999999996, 556.23000000000002), (0, 0)))
(u'040726', ((554.16999999999996, 556.21500000000003), (0, 1)))
(u'040727', ((554.16999999999996, 556.19000000000005), (0, 2)))
